"Weekday","Date","Home_team","Away_team","Home_goals","Away_Goals"
"Sa",17.08.2024,"Genoa "," Inter Milan",2,2
"Sa",17.08.2024,"Parma "," Fiorentina",1,1
"Sa",17.08.2024,"AC Milan "," Torino",2,2
"Sa",17.08.2024,"Empoli "," Monza",0,0
"Su",18.08.2024,"Bologna "," Udinese",1,1
"Su",18.08.2024,"Hellas Verona "," Napoli",3,0
"Su",18.08.2024,"Cagliari "," AS Roma",0,0
"Su",18.08.2024,"Lazio "," Venezia",1,3
"Mo",19.08.2024,"Lecce "," Atalanta",0,4
"Mo",19.08.2024,"Juventus "," Como",3,0
"Sa",24.08.2024,"Parma "," AC Milan",1,2
"Sa",24.08.2024,"Udinese "," Lazio",1,2
"Sa",24.08.2024,"Inter Milan "," Lecce",2,0
"Sa",24.08.2024,"Monza "," Genoa",0,1
"Su",25.08.2024,"Fiorentina "," Venezia",0,0
"Su",25.08.2024,"Torino "," Atalanta",1,2
"Su",25.08.2024,"AS Roma "," Empoli",2,1
"Su",25.08.2024,"Napoli "," Bologna",3,0
"Mo",26.08.2024,"Cagliari "," Como",1,1
"Mo",26.08.2024,"Hellas Verona "," Juventus",0,3
"Fr",30.08.2024,"Venezia "," Torino",0,1
"Fr",30.08.2024,"Inter Milan "," Atalanta",4,0
"Sa",31.08.2024,"Bologna "," Empoli",1,1
"Sa",31.08.2024,"Lecce "," Cagliari",1,0
"Sa",31.08.2024,"Lazio "," AC Milan",2,2
"Sa",31.08.2024,"Napoli "," Parma",1,2
"Su",01.09.2024,"Fiorentina "," Monza",2,2
"Su",01.09.2024,"Genoa "," Hellas Verona",0,2
"Su",01.09.2024,"Juventus "," AS Roma",0,0
"Su",01.09.2024,"Udinese "," Como",1,0
"Sa",14.09.2024,"Como "," Bologna",2,2
"Sa",14.09.2024,"Empoli "," Juventus",0,0
"Sa",14.09.2024,"AC Milan "," Venezia",4,0
"Su",15.09.2024,"Genoa "," AS Roma",1,1
"Su",15.09.2024,"Atalanta "," Fiorentina",2,3
"Su",15.09.2024,"Torino "," Lecce",0,0
"Su",15.09.2024,"Cagliari "," Napoli",0,4
"Su",15.09.2024,"Monza "," Inter Milan",1,1
"Mo",16.09.2024,"Parma "," Udinese",3,2
"Mo",16.09.2024,"Lazio "," Hellas Verona",1,2
"Fr",20.09.2024,"Cagliari "," Empoli",0,2
"Fr",20.09.2024,"Hellas Verona "," Torino",3,2
"Sa",21.09.2024,"Venezia "," Genoa",2,0
"Sa",21.09.2024,"Juventus "," Napoli",0,0
"Sa",21.09.2024,"Lecce "," Parma",2,2
"Su",22.09.2024,"Fiorentina "," Lazio",1,2
"Su",22.09.2024,"Monza "," Bologna",2,1
"Su",22.09.2024,"AS Roma "," Udinese",3,0
"Su",22.09.2024,"Inter Milan "," AC Milan",2,1
"Tu",24.09.2024,"Atalanta "," Como",3,2
"Fr",27.09.2024,"AC Milan "," Lecce",3,0
"Sa",28.09.2024,"Udinese "," Inter Milan",3,2
"Sa",28.09.2024,"Genoa "," Juventus",0,3
"Sa",28.09.2024,"Bologna "," Atalanta",1,1
"Su",29.09.2024,"Torino "," Lazio",3,2
"Su",29.09.2024,"AS Roma "," Venezia",1,2
"Su",29.09.2024,"Como "," Hellas Verona",2,3
"Su",29.09.2024,"Empoli "," Fiorentina",0,0
"Su",29.09.2024,"Napoli "," Monza",2,0
"Mo",30.09.2024,"Parma "," Cagliari",3,2
"Fr",04.10.2024,"Napoli "," Como",1,3
"Fr",04.10.2024,"Hellas Verona "," Venezia",1,2
"Sa",05.10.2024,"Udinese "," Lecce",1,0
"Sa",05.10.2024,"Atalanta "," Genoa",1,5
"Sa",05.10.2024,"Inter Milan "," Torino",2,3
"Su",06.10.2024,"Juventus "," Cagliari",1,1
"Su",06.10.2024,"Bologna "," Parma",0,0
"Su",06.10.2024,"Lazio "," Empoli",1,2
"Su",06.10.2024,"Monza "," AS Roma",1,1
"Su",06.10.2024,"Fiorentina "," AC Milan",1,2
"Sa",19.10.2024,"Como "," Parma",1,1
"Sa",19.10.2024,"Genoa "," Bologna",2,2
"Sa",19.10.2024,"AC Milan "," Udinese",1,0
"Sa",19.10.2024,"Juventus "," Lazio",1,0
"Su",20.10.2024,"Empoli "," Napoli",0,1
"Su",20.10.2024,"Lecce "," Fiorentina",0,6
"Su",20.10.2024,"Venezia "," Atalanta",0,2
"Su",20.10.2024,"Cagliari "," Torino",2,3
"Su",20.10.2024,"AS Roma "," Inter Milan",0,1
"Mo",21.10.2024,"Hellas Verona "," Monza",0,3
"Fr",25.10.2024,"Udinese "," Cagliari",2,0
"Fr",25.10.2024,"Torino "," Como",1,0
"Sa",26.10.2024,"Napoli "," Lecce",1,0
"Sa",26.10.2024,"Atalanta "," Hellas Verona",1,6
"Su",27.10.2024,"Parma "," Empoli",1,1
"Su",27.10.2024,"Lazio "," Genoa",3,0
"Su",27.10.2024,"Monza "," Venezia",2,2
"Su",27.10.2024,"Inter Milan "," Juventus",4,4
"Su",27.10.2024,"Fiorentina "," AS Roma",1,5
"Tu",29.10.2024,"Cagliari "," Bologna",0,2
"Tu",29.10.2024,"Lecce "," Hellas Verona",1,0
"Tu",29.10.2024,"AC Milan "," Napoli",0,2
"We",30.10.2024,"Empoli "," Inter Milan",0,3
"We",30.10.2024,"Venezia "," Udinese",2,3
"We",30.10.2024,"Atalanta "," Monza",2,0
"We",30.10.2024,"Juventus "," Parma",2,2
"Th",31.10.2024,"Genoa "," Fiorentina",0,1
"Th",31.10.2024,"AS Roma "," Torino",1,0
"Th",31.10.2024,"Como "," Lazio",5,1
"Sa",02.11.2024,"Bologna "," Lecce",1,0
"Sa",02.11.2024,"Udinese "," Juventus",0,2
"Sa",02.11.2024,"Monza "," AC Milan",0,1
"Su",03.11.2024,"Napoli "," Atalanta",0,3
"Su",03.11.2024,"Torino "," Fiorentina",0,1
"Su",03.11.2024,"Hellas Verona "," AS Roma",2,3
"Su",03.11.2024,"Inter Milan "," Venezia",1,0
"Mo",04.11.2024,"Empoli "," Como",1,0
"Mo",04.11.2024,"Parma "," Genoa",0,1
"Mo",04.11.2024,"Lazio "," Cagliari",1,2
"Th",07.11.2024,"Genoa "," Como",1,1
"Fr",08.11.2024,"Lecce "," Empoli",1,1
"Sa",09.11.2024,"Venezia "," Parma",2,1
"Sa",09.11.2024,"Cagliari "," AC Milan",3,3
"Sa",09.11.2024,"Juventus "," Torino",2,0
"Su",10.11.2024,"Atalanta "," Udinese",1,2
"Su",10.11.2024,"AS Roma "," Bologna",3,2
"Su",10.11.2024,"Fiorentina "," Hellas Verona",1,3
"Su",10.11.2024,"Monza "," Lazio",0,1
"Su",10.11.2024,"Inter Milan "," Napoli",1,1
"Sa",23.11.2024,"Hellas Verona "," Inter Milan",0,5
"Sa",23.11.2024,"AC Milan "," Juventus",0,0
"Sa",23.11.2024,"Parma "," Atalanta",3,1
"Su",24.11.2024,"Genoa "," Cagliari",2,2
"Su",24.11.2024,"Como "," Fiorentina",0,2
"Su",24.11.2024,"Torino "," Monza",1,1
"Su",24.11.2024,"Napoli "," AS Roma",1,0
"Su",24.11.2024,"Lazio "," Bologna",3,0
"Mo",25.11.2024,"Empoli "," Udinese",1,1
"Mo",25.11.2024,"Venezia "," Lecce",0,1
"Fr",29.11.2024,"Cagliari "," Hellas Verona",1,0
"Sa",30.11.2024,"Como "," Monza",1,1
"Sa",30.11.2024,"AC Milan "," Empoli",3,0
"Sa",30.11.2024,"Bologna "," Venezia",3,0
"Su",01.12.2024,"Udinese "," Genoa",0,2
"Su",01.12.2024,"Parma "," Lazio",1,3
"Su",01.12.2024,"Torino "," Napoli",0,1
"Su",01.12.2024,"Lecce "," Juventus",1,1
"Mo",02.12.2024,"AS Roma "," Atalanta",0,2
"Fr",06.12.2024,"Inter Milan "," Parma",1,3
"Fr",06.12.2024,"Atalanta "," AC Milan",1,2
"Sa",07.12.2024,"Genoa "," Torino",0,0
"Sa",07.12.2024,"Juventus "," Bologna",2,2
"Sa",07.12.2024,"AS Roma "," Lecce",1,4
"Su",08.12.2024,"Fiorentina "," Cagliari",1,0
"Su",08.12.2024,"Hellas Verona "," Empoli",4,1
"Su",08.12.2024,"Venezia "," Como",2,2
"Su",08.12.2024,"Napoli "," Lazio",0,1
"Mo",09.12.2024,"Monza "," Udinese",2,1
"Fr",13.12.2024,"Empoli "," Torino",0,1
"Sa",14.12.2024,"Cagliari "," Atalanta",0,1
"Sa",14.12.2024,"Udinese "," Napoli",3,1
"Sa",14.12.2024,"Juventus "," Venezia",2,2
"Su",15.12.2024,"Lecce "," Monza",1,2
"Su",15.12.2024,"Bologna "," Fiorentina",1,0
"Su",15.12.2024,"Parma "," Hellas Verona",3,2
"Su",15.12.2024,"Como "," AS Roma",2,0
"Su",15.12.2024,"AC Milan "," Genoa",0,0
"Mo",16.12.2024,"Lazio "," Inter Milan",0,6
"Fr",20.12.2024,"Hellas Verona "," AC Milan",0,1
"Sa",21.12.2024,"Torino "," Bologna",0,2
"Sa",21.12.2024,"Genoa "," Napoli",2,1
"Sa",21.12.2024,"Lecce "," Lazio",2,1
"Su",22.12.2024,"AS Roma "," Parma",5,0
"Su",22.12.2024,"Venezia "," Cagliari",1,2
"Su",22.12.2024,"Atalanta "," Empoli",2,3
"Su",22.12.2024,"Monza "," Juventus",2,1
"Mo",23.12.2024,"Fiorentina "," Udinese",2,1
"Mo",23.12.2024,"Inter Milan "," Como",2,0
"Sa",28.12.2024,"Empoli "," Genoa",2,1
"Sa",28.12.2024,"Parma "," Monza",1,2
"Sa",28.12.2024,"Cagliari "," Inter Milan",0,3
"Sa",28.12.2024,"Lazio "," Atalanta",1,1
"Su",29.12.2024,"Udinese "," Torino",2,2
